datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4565,-57.9775,1.5
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4254,-57.4768,2.7
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4604,-57.9980,2.3
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4178,-57.4797,12.1
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4557,-57.4968,1.8
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4696,-57.9836,1.5
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4213,-57.4802,5.4
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4592,-57.4974,1.8
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4662,-57.9830,2
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4599,-57.9781,1.5
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4576,-57.9936,4.7
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,,,,-18.7531,-55.8333,2
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,,,,-18.7553,-55.8303,1.4
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4610,-57.9941,2.3
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4719,-57.9919,1.1
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4411,-57.4916,2.1
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4616,-57.9902,2.5
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4172,-57.4837,12.1
